imobiliaria;amostra;% com numero;% com coordenada;% com predio;% so rua;% so bairro;erro
Foxter Cia Imobiliária;10;100;100;70;0;0;
Lyon Imóveis;10;100;100;100;0;0;
Guarida Imóveis;10;10;100;100;0;0;
One Imóveis de Luxo;10;0;100;80;0;0;
MultiImob;10;100;0;80;0;0;
Vera Bernardes;10;100;0;60;0;0;
Condotta;10;0;100;0;0;0;
Morano Imobiliária;10;0;100;50;0;0;
Reserva Imob;10;100;0;70;0;0;
Imobiliária Terracini;10;0;100;90;0;0;
Garcia Imóveis;10;100;0;20;0;0;
Luxton Imobiliária;10;100;0;90;0;0;
Albert Imóveis;10;100;0;0;0;0;
Rial Imóveis;10;90;0;100;0;0;
Portolar Imóveis;10;90;0;100;0;10;
Visualize Imóveis;10;0;70;100;0;30;
Auxiliadora Predial;0;0;0;0;0;0;
Crédito Real;0;0;0;0;0;0;
Sperinde Imóveis;0;0;0;0;0;0;
Urban Company;10;0;0;80;20;0;
Colnaghi Imóveis;0;0;0;0;0;0;
Bridge Imóveis;10;0;0;80;20;0;
CP Imóveis;10;0;0;0;0;100;
Imobiliária Zona Norte;10;0;0;40;0;90;
Private Imóveis;0;0;0;0;0;0;
Da Cás Imóveis;0;0;0;0;0;0;
Housin 360 (Melnick);1;0;0;0;100;0;
